scenario,setting,value,label,cutoffdate,runkey,application,jobid
SIIreview.RM2.VE20.IR1 Corp -50bps,MR3 Currency (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,Inflation (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IAS19 curve (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UFR (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,MR1 - Bucket end year,120.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,MR1 - Bucket start year,0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,MR1 Steepening (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,MR1 Interest rate (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IR5 EU (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IR3 Amvest (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IR2 Type II Symmetric Adjuster (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IR2 Non Linear NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IR2 Linear NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,EIOPA VA (bps),-8.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IR1 Sovereign Spread (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IR1 Mortgage Spread (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IR1 Corporate Spread (bps),-50.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,IR1 ABS Spread (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,Model-Parameters,"",2023Q1,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,MortalityShockType,"",n/a,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR1 scaling,"",Same as scenario: SIIreview.RM2.VE20,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,RiskMargin Lamda Floor (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,RiskMargin Lambda,0.975,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,RiskMargin CoC (%),-1.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,Curve Convergence (%),20.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,SII_Curve_EIOPA_SIIReview,"",SII Review,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,HICP_curve,"",HICP_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,SII_onlyVA_forward_curve,"",SII_Review_T_onlyVA_forward_alpha020_VA_4up,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,SII_onlyVA_spot_curve,"",SII_Review_T_onlyVA_spot_alpha020_VA_4up,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,SII_noVA_curve,"",SII_Review_T_noVA_alpha020,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,SII_curve,"",SII_Review_T_alpha020_VA_4up,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,Mortgage_curve,"",Asset_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,Asset_curve,"",Asset_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,LACDT (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR5 Expense (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR4 Claims (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR3 lapse individual life (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR3C Mortgage Prepayment NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR3P Mortgage Prepayment NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR2C Recovery (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR2C Disability (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR2P Recovery (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR2P Disability (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR1P Mortality (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR1LT NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UR1LL NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,MR3 Currency (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,Inflation (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IAS19 curve (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,UFR (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,MR1 - Bucket end year,120.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,MR1 - Bucket start year,0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,MR1 Steepening (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,MR1 Interest rate (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IR5 EU (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IR3 Amvest (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IR2 Type II Symmetric Adjuster (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IR2 Non Linear NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IR2 Linear NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,EIOPA VA (bps),4.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IR1 Sovereign Spread (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IR1 Mortgage Spread (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IR1 Corporate Spread (bps),50.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp +50bps,IR1 ABS Spread (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,Model-Parameters,"",2023Q1,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,MortalityShockType,"",n/a,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR1 scaling,"",Same as scenario: SIIreview.RM2.VE20,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,RiskMargin Lamda Floor (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,RiskMargin Lambda,0.975,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,RiskMargin CoC (%),-1.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,Curve Convergence (%),20.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,SII_Curve_EIOPA_SIIReview,"",SII Review,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,HICP_curve,"",HICP_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,SII_onlyVA_forward_curve,"",SII_Review_T_onlyVA_forward_alpha020_VA_2dn,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,SII_onlyVA_spot_curve,"",SII_Review_T_onlyVA_spot_alpha020_VA_2dn,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,SII_noVA_curve,"",SII_Review_T_noVA_alpha020,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,SII_curve,"",SII_Review_T_alpha020_VA_2dn,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,Mortgage_curve,"",Asset_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,Asset_curve,"",Asset_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,LACDT (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR5 Expense (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR4 Claims (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR3 lapse individual life (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR3C Mortgage Prepayment NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR3P Mortgage Prepayment NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR2C Recovery (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR2C Disability (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR2P Recovery (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR2P Disability (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR1P Mortality (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR1LT NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UR1LL NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,MR3 Currency (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,Inflation (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IAS19 curve (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,UFR (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,MR1 - Bucket end year,120.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,MR1 - Bucket start year,0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,MR1 Steepening (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,MR1 Interest rate (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IR5 EU (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IR3 Amvest (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IR2 Type II Symmetric Adjuster (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IR2 Non Linear NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IR2 Linear NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,EIOPA VA (bps),-2.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IR1 Sovereign Spread (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IR1 Mortgage Spread (bps),-50.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IR1 Corporate Spread (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg -50 bps,IR1 ABS Spread (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,Model-Parameters,"",2023Q1,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,MortalityShockType,"",n/a,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR1 scaling,"",Same as scenario: SIIreview.RM2.VE20,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,RiskMargin Lamda Floor (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,RiskMargin Lambda,0.975,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,RiskMargin CoC (%),-1.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,Curve Convergence (%),20.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,SII_Curve_EIOPA_SIIReview,"",SII Review,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,HICP_curve,"",HICP_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,SII_onlyVA_forward_curve,"",SII_Review_T_onlyVA_forward_alpha020_VA_2dn,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,SII_onlyVA_spot_curve,"",SII_Review_T_onlyVA_spot_alpha020_VA_2dn,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,SII_noVA_curve,"",SII_Review_T_noVA_alpha020,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,SII_curve,"",SII_Review_T_alpha020_VA_2dn,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,Mortgage_curve,"",Asset_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,Asset_curve,"",Asset_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,LACDT (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR5 Expense (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR4 Claims (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR3 lapse individual life (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR3C Mortgage Prepayment NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR3P Mortgage Prepayment NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR2C Recovery (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR2C Disability (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR2P Recovery (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR2P Disability (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR1P Mortality (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR1LT NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,UR1LL NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,MR3 Currency (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,Inflation (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Mortg +50 bps,IAS19 curve (bps),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
